"PROMOTION_ID","DISCOUNT","END_DATE","START_DATE","PRODUCT_ID","SUPERMARKET_ID"
"64","0.33","2016-09-07","2016-08-18","37","7"
"65","0.39","2016-07-02","2016-06-23","37","10"
"66","0.62","2016-07-08","2016-06-21","37","12"
"67","0.45","2016-08-18","2016-08-03","37","18"
"68","0.38","2016-09-05","2016-08-24","37","19"
"69","0.88","2016-06-27","2016-06-09","39","1"
"70","0.7","2016-07-21","2016-06-22","39","3"
"71","0.58","2016-06-22","2016-05-29","39","6"
"72","0.76","2016-08-29","2016-08-17","39","20"
"73","0.58","2016-06-11","2016-05-28","40","1"
"74","0.97","2016-07-05","2016-06-06","40","7"
"75","0.92","2016-07-24","2016-06-25","41","4"
"76","0.8","2016-08-24","2016-08-16","41","21"
"77","0.84","2016-11-03","2016-10-19","42","1"
"78","0.32","2016-11-02","2016-10-26","42","20"
"79","0.94","2016-05-14","2016-05-03","43","7"
"80","0.69","2016-07-23","2016-07-15","43","9"
"81","0.34","2016-08-13","2016-08-06","43","21"
"82","0.54","2016-11-03","2016-10-06","46","6"
"83","0.85","2016-10-08","2016-09-14","46","8"
"84","0.53","2016-10-04","2016-09-26","46","9"
"85","0.87","2016-05-08","2016-04-27","46","18"
"86","0.81","2016-10-12","2016-09-29","47","6"
"87","0.51","2016-09-06","2016-08-29","47","15"
"88","0.9","2016-06-14","2016-06-07","47","20"
"89","0.96","2016-08-18","2016-07-26","48","6"
"90","0.72","2016-07-06","2016-06-25","48","14"
"91","0.63","2016-06-14","2016-05-25","49","16"
"92","0.55","2016-10-26","2016-10-09","50","2"
"93","0.52","2016-09-26","2016-08-31","50","17"
"94","0.85","2016-08-21","2016-08-09","51","8"
"95","0.89","2016-07-07","2016-06-29","51","12"
"96","0.83","2016-08-20","2016-07-23","52","14"
"97","0.68","2016-10-14","2016-09-17","53","3"
"98","0.45","2016-07-15","2016-07-06","53","5"
"99","0.66","2016-07-17","2016-06-24","54","1"
"100","0.38","2016-07-22","2016-07-14","54","3"
"101","0.72","2016-08-06","2016-07-26","54","19"
"102","0.5","2016-06-01","2016-05-20","54","21"
"103","0.5","2016-06-12","2016-05-14","55","1"
"104","0.61","2016-05-09","2016-04-22","55","2"
"105","0.91","2016-06-26","2016-05-30","57","10"
"106","0.63","2016-05-26","2016-05-03","57","16"
"107","0.95","2016-07-07","2016-06-17","58","13"
"108","0.72","2016-07-15","2016-06-17","59","20"
"109","0.65","2016-05-27","2016-05-16","60","5"
"110","0.76","2016-06-13","2016-05-24","60","6"
"111","0.91","2016-11-07","2016-10-20","60","10"
"112","0.41","2016-09-17","2016-09-06","60","21"
"113","0.69","2016-08-13","2016-08-02","61","19"
"114","0.75","2016-09-12","2016-08-17","62","2"
"115","0.71","2016-05-06","2016-04-15","62","5"
"116","0.4","2016-09-30","2016-09-13","62","14"
"117","0.88","2016-08-05","2016-07-10","63","7"
"118","0.72","2016-05-26","2016-05-15","63","14"
"119","0.78","2016-08-29","2016-08-13","63","15"
"120","0.98","2016-06-13","2016-05-26","64","15"
"121","0.3","2016-10-03","2016-09-09","64","17"
"122","0.32","2016-09-21","2016-09-12","65","5"
"123","0.7","2016-09-24","2016-09-05","66","5"
"124","0.7","2016-08-23","2016-07-29","67","5"
"125","0.48","2016-04-28","2016-04-15","67","9"
"126","0.76","2016-10-09","2016-09-11","67","20"
"127","0.81","2016-05-23","2016-05-13","68","2"
"128","0.89","2016-11-10","2016-10-18","68","8"
"129","0.94","2016-05-09","2016-04-23","69","6"
"130","0.57","2016-10-28","2016-10-12","69","9"
"131","0.84","2016-06-14","2016-05-26","69","18"
"132","0.92","2016-08-01","2016-07-06","71","14"
"133","0.66","2016-10-10","2016-09-18","71","19"
"134","0.53","2016-05-14","2016-05-06","71","20"
"135","0.74","2016-10-30","2016-10-20","71","21"
"136","0.81","2016-06-05","2016-05-28","73","7"
"137","0.44","2016-10-24","2016-09-30","73","21"
"138","0.42","2016-09-16","2016-09-03","74","3"
"139","0.6","2016-09-25","2016-09-07","74","8"
"140","0.97","2016-05-25","2016-05-07","74","13"
"141","0.49","2016-11-14","2016-10-30","75","21"
"142","0.72","2016-11-03","2016-10-06","76","1"
"143","0.32","2016-10-25","2016-10-09","76","11"
"144","0.87","2016-07-20","2016-07-09","76","19"
"145","0.55","2016-09-24","2016-08-26","77","4"
"146","0.78","2016-06-25","2016-05-31","77","5"
"147","0.4","2016-09-17","2016-09-09","77","15"
"148","0.57","2016-10-31","2016-10-07","77","19"
"149","0.74","2016-10-15","2016-10-08","78","1"
"150","0.66","2016-07-24","2016-07-12","78","6"
"151","0.42","2016-06-25","2016-06-07","78","7"
"152","0.69","2016-06-01","2016-05-08","78","12"
"153","0.32","2016-10-15","2016-10-05","79","4"
"154","0.64","2016-07-03","2016-06-26","79","5"
"155","0.65","2016-10-15","2016-09-26","79","8"
"156","0.86","2016-08-04","2016-07-25","80","3"
"157","0.89","2016-05-06","2016-04-26","80","8"
"158","0.61","2016-11-05","2016-10-12","80","10"
"159","0.6","2016-05-25","2016-04-30","80","19"
"160","0.37","2016-05-19","2016-04-21","80","20"
"161","0.43","2016-08-05","2016-07-10","81","10"
"162","0.65","2016-06-06","2016-05-08","82","9"
"163","0.42","2016-06-14","2016-05-31","82","10"
"164","0.63","2016-08-30","2016-08-19","82","17"
"165","0.81","2016-08-15","2016-07-28","82","18"
"166","0.73","2016-08-12","2016-07-19","83","9"
"167","0.54","2016-05-13","2016-04-21","83","11"
"168","0.66","2016-05-17","2016-05-10","85","19"
"169","0.46","2016-11-20","2016-10-29","86","4"
"170","0.37","2016-09-19","2016-08-23","87","9"
"171","0.52","2016-05-11","2016-04-18","88","1"
"172","0.47","2016-09-25","2016-09-08","88","6"
"173","0.5","2016-08-06","2016-07-11","88","12"
"174","0.74","2016-06-21","2016-06-02","88","13"
"175","0.34","2016-10-17","2016-09-27","89","16"
"176","0.68","2016-06-07","2016-05-13","89","17"
"177","0.91","2016-08-19","2016-08-12","89","21"
"178","0.39","2016-07-31","2016-07-05","90","1"
"179","0.78","2016-07-10","2016-06-26","90","13"
"180","0.77","2016-09-14","2016-09-05","91","6"
"181","0.86","2016-09-25","2016-09-01","91","10"
"182","0.45","2016-11-13","2016-10-29","91","11"
"183","0.68","2016-08-30","2016-08-22","91","13"
"184","0.65","2016-07-24","2016-07-15","91","18"
"185","0.35","2016-05-30","2016-05-23","92","4"
"186","0.34","2016-07-10","2016-07-02","92","5"
"187","0.82","2016-07-27","2016-07-03","92","12"
"188","0.6","2016-10-26","2016-10-07","93","2"
"189","0.6","2016-08-09","2016-07-11","93","4"
"190","0.87","2016-09-13","2016-08-28","93","7"
"191","0.38","2016-06-26","2016-05-28","93","15"
"192","0.41","2016-06-08","2016-05-30","94","2"
"193","0.49","2016-08-20","2016-07-28","95","13"
"194","0.71","2016-08-27","2016-08-19","96","4"
"195","0.46","2016-10-17","2016-09-18","96","6"
"196","0.38","2016-06-26","2016-06-02","97","8"
"197","0.58","2016-10-31","2016-10-13","97","12"
"198","0.62","2016-07-18","2016-07-05","97","20"
"199","0.74","2016-07-24","2016-07-16","98","11"
"200","0.51","2016-07-27","2016-06-28","98","17"
"201","0.35","2016-10-02","2016-09-07","99","1"
"202","0.77","2016-09-08","2016-08-26","99","2"
"203","0.66","2016-08-18","2016-07-23","99","3"
"204","0.66","2016-09-18","2016-08-27","99","10"
"205","0.62","2016-07-05","2016-06-18","99","14"
"206","0.9","2016-07-28","2016-07-06","99","17"
"207","0.42","2016-07-16","2016-07-08","99","20"
"208","0.61","2016-09-25","2016-09-09","99","21"
"209","0.93","2016-08-15","2016-08-08","100","1"
"210","0.97","2016-09-09","2016-08-22","100","13"
"211","0.94","2016-05-14","2016-05-05","101","3"
"212","0.57","2016-06-09","2016-05-26","102","3"
"213","0.94","2016-11-25","2016-10-27","102","19"
"214","0.34","2016-07-13","2016-06-30","103","14"
"215","0.62","2016-08-14","2016-08-03","104","4"
"216","0.74","2016-09-03","2016-08-06","104","7"
"217","0.68","2016-11-10","2016-10-26","104","9"
"218","0.42","2016-11-24","2016-10-27","104","14"
"219","0.59","2016-09-09","2016-08-18","105","4"
"220","0.96","2016-10-02","2016-09-16","105","10"
"221","0.66","2016-05-21","2016-05-03","105","12"
"222","0.89","2016-07-30","2016-07-01","105","17"
"223","0.37","2016-09-17","2016-08-29","106","6"
"224","0.75","2016-09-01","2016-08-25","106","8"
"225","0.87","2016-11-21","2016-10-23","106","21"
"226","0.61","2016-11-05","2016-10-08","107","3"
"227","0.97","2016-10-30","2016-10-15","107","6"
"228","0.57","2016-09-23","2016-08-31","107","9"
"229","0.96","2016-08-02","2016-07-20","107","19"
"230","0.84","2016-06-26","2016-06-14","109","2"
"231","0.76","2016-09-08","2016-08-23","109","16"
"232","0.42","2016-08-19","2016-08-09","110","1"
"233","0.65","2016-10-30","2016-10-02","110","6"
"234","0.71","2016-07-05","2016-06-24","110","9"
"235","0.95","2016-10-07","2016-09-16","111","6"
"236","0.91","2016-09-03","2016-08-09","111","16"
"237","0.56","2016-05-16","2016-04-30","112","9"
"238","0.65","2016-08-15","2016-07-26","112","13"
"239","0.8","2016-06-23","2016-06-05","112","17"
"240","0.85","2016-08-13","2016-07-23","113","4"
"241","0.38","2016-09-11","2016-08-23","113","10"
"242","0.74","2016-09-08","2016-08-29","114","11"
"243","0.9","2016-06-30","2016-06-20","115","2"
"244","0.75","2016-10-20","2016-10-12","115","4"
"245","0.36","2016-05-29","2016-05-02","115","5"
"246","0.72","2016-07-19","2016-07-04","115","6"
"247","0.52","2016-06-10","2016-05-21","115","12"
"248","0.62","2016-06-15","2016-05-31","115","15"
"249","0.96","2016-07-26","2016-07-13","115","16"
"250","0.69","2016-08-23","2016-07-26","115","19"
"251","0.51","2016-09-01","2016-08-11","115","20"
"252","0.96","2016-05-21","2016-04-29","116","8"
"253","0.73","2016-04-30","2016-04-22","117","21"
"254","0.97","2016-07-26","2016-07-11","118","19"
"255","0.69","2016-11-11","2016-10-26","119","5"
"256","0.35","2016-08-17","2016-08-05","120","2"
"257","0.84","2016-05-21","2016-05-01","120","7"
"258","0.5","2016-09-27","2016-09-05","120","8"
"259","0.48","2016-05-25","2016-04-28","120","17"
"260","0.36","2016-06-08","2016-05-18","120","18"
"261","0.58","2016-09-24","2016-09-16","120","21"
"262","0.82","2016-07-05","2016-06-16","121","15"
"263","0.42","2016-07-22","2016-07-03","122","2"
"264","0.33","2016-08-06","2016-07-15","122","7"
"265","0.88","2016-05-31","2016-05-16","122","14"
"266","0.96","2016-07-14","2016-06-26","123","5"
"267","0.68","2016-10-20","2016-10-05","123","11"
"268","0.81","2016-08-03","2016-07-14","123","19"
"269","0.61","2016-05-09","2016-04-19","124","2"
"270","0.39","2016-06-20","2016-06-05","125","7"
"271","0.59","2016-08-02","2016-07-06","125","11"
"272","0.52","2016-10-06","2016-09-17","125","13"
"273","0.37","2016-05-29","2016-05-15","125","14"
"274","0.32","2016-07-27","2016-07-11","127","2"
"275","0.74","2016-09-13","2016-09-05","127","3"
"276","0.67","2016-09-17","2016-08-26","127","15"
"277","0.55","2016-05-25","2016-04-26","127","18"
"278","0.35","2016-09-02","2016-08-22","128","11"
"279","0.42","2016-08-31","2016-08-18","128","18"
"280","0.85","2016-06-25","2016-06-05","129","9"
"281","0.31","2016-06-18","2016-05-24","129","16"
"282","0.84","2016-05-25","2016-05-17","130","15"
"283","0.31","2016-07-03","2016-06-04","131","1"
"284","0.75","2016-10-22","2016-09-25","131","12"
"285","0.65","2016-10-24","2016-10-07","132","3"
"286","0.37","2016-08-21","2016-08-08","132","4"
"287","0.98","2016-07-18","2016-06-29","132","6"
"288","0.94","2016-08-29","2016-08-04","132","7"
"289","0.31","2016-06-18","2016-06-08","132","14"
"290","0.87","2016-10-20","2016-10-03","133","6"
"291","0.35","2016-08-22","2016-08-15","133","7"
"292","0.68","2016-11-23","2016-10-28","133","20"
"293","0.77","2016-11-05","2016-10-10","134","4"
"294","0.3","2016-08-12","2016-08-01","134","9"
"295","0.48","2016-10-09","2016-09-18","134","13"
"296","0.77","2016-09-13","2016-09-01","134","14"
"297","0.62","2016-06-26","2016-06-05","135","12"
"298","0.7","2016-09-07","2016-08-13","135","18"
"299","0.51","2016-09-14","2016-08-23","136","3"
"300","0.82","2016-09-17","2016-09-06","138","9"
"301","0.95","2016-08-25","2016-08-11","138","10"
"302","0.85","2016-10-13","2016-10-04","138","19"
"303","0.7","2016-06-08","2016-05-17","139","8"
"304","0.94","2016-05-05","2016-04-27","139","17"
"305","0.74","2016-10-19","2016-10-07","139","20"
"306","0.97","2016-10-28","2016-10-11","140","5"
"307","0.52","2016-07-22","2016-07-09","141","2"
"308","0.78","2016-07-15","2016-06-17","141","6"
"309","0.82","2016-10-16","2016-09-20","141","16"
"310","0.67","2016-09-04","2016-08-23","141","19"
"311","0.93","2016-06-20","2016-05-27","142","20"
"312","0.31","2016-05-11","2016-04-22","143","1"
"313","0.69","2016-06-18","2016-06-02","144","8"
"314","0.34","2016-10-25","2016-10-16","144","18"
"315","0.96","2016-07-13","2016-06-26","145","1"
"316","0.84","2016-11-16","2016-10-18","145","17"
"317","0.78","2016-10-27","2016-10-11","146","11"
"318","0.82","2016-08-18","2016-08-04","147","2"
"319","0.92","2016-08-27","2016-08-17","147","9"
"320","0.6","2016-05-23","2016-05-13","147","15"
"321","0.42","2016-11-10","2016-10-12","148","7"
"322","0.61","2016-09-24","2016-09-13","148","18"
"323","0.88","2016-05-14","2016-05-07","148","20"
"324","0.46","2016-05-31","2016-05-09","149","3"
"325","0.87","2016-06-09","2016-06-02","149","20"
"326","0.73","2016-10-18","2016-10-08","149","21"
"327","0.53","2016-07-07","2016-06-16","150","1"
"328","0.6","2016-10-14","2016-09-29","151","19"
"329","0.44","2016-05-08","2016-04-16","153","21"
"330","0.92","2016-09-12","2016-08-20","155","10"
"331","0.77","2016-05-28","2016-05-10","156","7"
"332","0.51","2016-06-06","2016-05-17","157","7"
"333","0.64","2016-10-03","2016-09-15","158","2"
"334","0.47","2016-08-05","2016-07-23","159","13"
"335","0.91","2016-05-22","2016-05-02","160","5"
"336","0.79","2016-07-20","2016-06-21","161","2"
"337","0.83","2016-10-18","2016-10-09","161","7"
"338","0.35","2016-11-06","2016-10-29","161","16"
"339","0.56","2016-10-09","2016-09-13","162","19"
"340","0.38","2016-09-12","2016-09-04","163","9"
"341","0.96","2016-10-29","2016-10-05","164","10"
"342","0.54","2016-07-01","2016-06-03","164","12"
"343","0.54","2016-06-05","2016-05-27","164","19"
"344","0.42","2016-10-15","2016-10-01","165","4"
"345","0.38","2016-05-07","2016-04-18","168","4"
"346","0.65","2016-10-24","2016-09-26","168","21"
"347","0.3","2016-08-16","2016-07-23","169","14"
"348","0.84","2016-09-10","2016-08-14","169","15"
"349","0.92","2016-08-05","2016-07-20","169","18"
"350","0.54","2016-07-24","2016-06-25","169","21"
"351","0.4","2016-06-27","2016-06-14","170","6"
"352","0.49","2016-09-03","2016-08-16","170","21"
"353","0.9","2016-06-25","2016-06-12","171","4"
"354","0.97","2016-07-12","2016-06-16","171","5"
"355","0.69","2016-11-05","2016-10-25","171","10"
"356","0.61","2016-07-22","2016-07-14","171","17"
"357","0.46","2016-08-01","2016-07-09","172","10"
"358","0.96","2016-09-04","2016-08-11","172","15"
"359","0.64","2016-08-04","2016-07-19","173","19"
"360","0.58","2016-08-05","2016-07-17","174","19"
"361","0.59","2016-06-27","2016-06-18","175","15"
"362","0.73","2016-06-19","2016-06-06","177","13"
"363","0.6","2016-06-23","2016-06-07","177","18"
"364","0.6","2016-09-30","2016-09-04","178","2"
"365","0.64","2016-06-30","2016-06-13","178","19"
"366","0.36","2016-09-09","2016-08-13","179","5"
"367","0.36","2016-06-03","2016-05-12","179","10"
"368","0.55","2016-09-19","2016-08-29","179","11"
"369","0.45","2016-10-17","2016-10-01","179","17"
"370","0.72","2016-10-17","2016-09-20","179","21"
"371","0.92","2016-07-20","2016-06-30","180","4"
"372","0.31","2016-10-11","2016-09-29","180","13"
"373","0.7","2016-07-27","2016-07-13","180","14"
"374","0.37","2016-05-23","2016-05-09","181","16"
"375","0.4","2016-06-26","2016-06-19","182","8"
"376","0.84","2016-11-26","2016-10-29","184","7"
"377","0.86","2016-07-27","2016-07-15","185","6"
"378","0.82","2016-08-24","2016-08-07","185","13"
"379","0.68","2016-10-19","2016-10-08","185","17"
"380","0.79","2016-09-18","2016-08-29","185","20"
"381","0.57","2016-09-06","2016-08-29","186","6"
"382","0.53","2016-05-19","2016-05-11","186","8"
"383","0.4","2016-07-13","2016-06-21","186","14"
"384","0.67","2016-08-26","2016-08-05","187","6"
"385","0.65","2016-11-16","2016-10-23","187","10"
"386","0.77","2016-10-31","2016-10-20","187","19"
"387","0.9","2016-11-10","2016-10-28","188","4"
"388","0.36","2016-11-13","2016-10-21","188","18"
"389","0.44","2016-06-20","2016-05-30","189","4"
"390","0.78","2016-06-13","2016-05-25","189","8"
"391","0.73","2016-05-31","2016-05-03","189","14"
"392","0.55","2016-05-30","2016-05-06","189","16"
"393","0.9","2016-11-18","2016-10-22","190","13"
"394","0.62","2016-06-28","2016-06-05","190","14"
"395","0.87","2016-05-06","2016-04-28","191","13"
"396","0.88","2016-05-13","2016-04-25","191","19"
"397","0.32","2016-09-06","2016-08-26","191","20"
"398","0.58","2016-09-23","2016-09-04","193","5"
"399","0.36","2016-07-30","2016-07-10","194","6"
"400","0.86","2016-08-27","2016-08-06","194","9"
"401","0.64","2016-08-05","2016-07-23","195","1"
"402","0.31","2016-11-08","2016-10-15","196","7"
"403","0.79","2016-04-21","2016-04-14","197","14"
"404","0.47","2016-10-08","2016-09-20","198","11"
"405","0.83","2016-05-19","2016-04-20","198","16"
"406","0.54","2016-05-25","2016-04-29","200","1"
"407","0.39","2016-07-02","2016-06-18","200","8"
"408","0.95","2016-07-04","2016-06-15","200","9"
"409","0.79","2016-06-30","2016-06-05","200","10"
"410","0.31","2016-09-16","2016-09-07","200","13"
"411","0.83","2016-05-29","2016-05-20","201","12"
"412","0.94","2016-09-07","2016-08-28","202","18"
"413","0.87","2016-05-08","2016-04-27","202","19"
"414","0.73","2016-05-15","2016-04-18","203","6"
"415","0.85","2016-06-27","2016-06-12","203","7"
"416","0.56","2016-06-26","2016-06-05","206","1"
"417","0.79","2016-10-14","2016-09-17","206","15"
"418","0.69","2016-07-30","2016-07-01","206","21"
"419","0.51","2016-06-10","2016-05-17","207","1"
"420","0.88","2016-06-03","2016-05-15","207","2"
"421","0.75","2016-11-03","2016-10-13","208","2"
"422","0.75","2016-11-16","2016-10-18","208","8"
"423","0.61","2016-08-29","2016-08-12","208","14"
"424","0.92","2016-08-16","2016-07-20","209","2"
"425","0.6","2016-09-23","2016-09-03","209","16"
"426","0.49","2016-10-03","2016-09-25","210","6"
"427","0.66","2016-07-02","2016-06-14","210","7"
"428","0.95","2016-06-21","2016-06-02","210","12"
"429","0.64","2016-08-22","2016-08-07","211","5"
"430","0.52","2016-07-06","2016-06-21","211","9"
"431","0.53","2016-11-19","2016-10-25","211","19"
"432","0.89","2016-05-26","2016-05-18","211","21"
"433","0.88","2016-10-28","2016-10-01","212","14"
"434","0.61","2016-05-07","2016-04-30","213","8"
"435","0.89","2016-06-09","2016-06-02","214","9"
"436","0.84","2016-07-05","2016-06-12","214","18"
"437","0.66","2016-10-03","2016-09-10","214","20"
"438","0.88","2016-07-17","2016-07-05","215","6"
"439","0.91","2016-10-04","2016-09-07","216","6"
"440","0.5","2016-06-28","2016-06-14","216","7"
"441","0.84","2016-10-25","2016-10-05","216","17"
"442","0.47","2016-07-20","2016-06-26","218","2"
"443","0.57","2016-09-12","2016-08-20","218","15"
"444","0.37","2016-06-05","2016-05-26","220","8"
"445","0.57","2016-06-13","2016-05-17","220","10"
"446","0.35","2016-05-09","2016-04-18","221","2"
"447","0.49","2016-09-05","2016-08-19","221","21"
"448","0.49","2016-09-02","2016-08-12","222","2"
"449","0.63","2016-07-28","2016-07-17","222","12"
"450","0.9","2016-07-12","2016-07-05","223","12"
"451","0.42","2016-05-28","2016-05-16","224","10"
"452","0.42","2016-05-10","2016-04-29","225","10"
"453","0.78","2016-08-23","2016-08-10","225","20"
"454","0.52","2016-08-07","2016-07-20","226","9"
"455","0.75","2016-09-08","2016-08-15","226","12"
"456","0.36","2016-08-07","2016-07-17","226","13"
"457","0.79","2016-07-01","2016-06-16","227","3"
"458","0.84","2016-08-30","2016-08-04","227","7"
"459","0.52","2016-10-09","2016-09-13","227","13"
"460","0.61","2016-06-20","2016-05-27","228","5"
"461","0.63","2016-07-18","2016-06-27","229","7"
"462","0.74","2016-05-22","2016-05-12","229","10"
"463","0.58","2016-06-01","2016-05-22","230","5"
"464","0.45","2016-07-25","2016-07-05","230","10"
"465","0.38","2016-08-28","2016-08-17","230","12"
"466","0.52","2016-07-08","2016-06-15","230","13"
"467","0.4","2016-05-15","2016-04-16","231","6"
"468","0.38","2016-09-15","2016-09-08","231","8"
"469","0.58","2016-11-11","2016-10-15","232","1"
"470","0.49","2016-07-19","2016-06-28","232","7"
"471","0.78","2016-08-23","2016-08-10","233","6"
"472","0.49","2016-10-05","2016-09-10","234","8"
"473","0.52","2016-10-26","2016-10-14","234","16"
"474","0.35","2016-08-28","2016-08-09","235","1"
"475","0.78","2016-08-05","2016-07-22","235","17"
"476","0.84","2016-05-23","2016-04-25","235","18"
"477","0.75","2016-10-17","2016-10-08","236","2"
"478","0.53","2016-10-23","2016-10-05","236","10"
"479","0.78","2016-09-23","2016-08-25","237","4"
"480","0.53","2016-11-11","2016-10-29","237","12"
"481","0.92","2016-08-03","2016-07-11","237","16"
"482","0.35","2016-07-07","2016-06-20","238","6"
"483","0.72","2016-11-15","2016-10-25","238","13"
"484","0.83","2016-06-13","2016-05-31","238","16"
"485","0.31","2016-05-30","2016-05-02","238","18"
"486","0.71","2016-09-23","2016-08-27","239","3"
"487","0.62","2016-06-09","2016-05-19","239","17"
"488","0.83","2016-09-30","2016-09-05","239","19"
"489","0.93","2016-09-14","2016-08-22","240","7"
"490","0.71","2016-05-22","2016-05-05","240","10"
"491","0.83","2016-10-09","2016-09-14","240","13"
"492","0.91","2016-10-12","2016-09-23","240","18"
"493","0.52","2016-07-29","2016-07-16","240","21"
"494","0.56","2016-05-17","2016-05-01","241","7"
"495","0.33","2016-05-24","2016-04-25","241","8"
"496","0.42","2016-06-11","2016-05-16","242","7"
"497","0.91","2016-11-22","2016-10-25","242","13"
"498","0.38","2016-11-11","2016-10-23","242","15"
"499","0.83","2016-09-20","2016-09-02","243","9"
"500","0.62","2016-06-09","2016-05-30","243","10"
"501","0.97","2016-07-22","2016-07-05","243","11"
"502","0.73","2016-09-16","2016-08-31","243","13"
"503","0.47","2016-06-17","2016-06-05","244","18"
"504","0.91","2016-08-22","2016-08-13","244","19"
"505","0.71","2016-06-23","2016-06-06","245","19"
"506","0.48","2016-07-15","2016-06-21","246","8"
"507","0.95","2016-08-31","2016-08-14","246","15"
"508","0.85","2016-05-30","2016-05-13","248","7"
"509","0.35","2016-07-27","2016-07-11","248","11"
"510","0.58","2016-08-07","2016-07-14","249","13"
"511","0.39","2016-08-07","2016-07-24","249","17"
"512","0.8","2016-10-04","2016-09-10","250","2"
"513","0.91","2016-10-25","2016-10-08","250","7"
"514","0.7","2016-08-06","2016-07-29","250","10"
"515","0.46","2016-06-06","2016-05-27","250","19"
"516","0.79","2016-11-11","2016-10-15","251","16"
"517","0.91","2016-10-28","2016-10-21","251","20"
"518","0.69","2016-06-18","2016-06-05","253","2"
"519","0.37","2016-07-09","2016-07-02","253","5"
"520","0.9","2016-10-24","2016-10-06","253","14"
"521","0.44","2016-08-05","2016-07-17","253","16"
"522","0.74","2016-06-15","2016-05-17","253","20"
"523","0.94","2016-09-23","2016-08-26","254","5"
"524","0.68","2016-08-07","2016-07-15","256","2"
"525","0.98","2016-10-08","2016-09-24","257","17"
"526","0.31","2016-07-17","2016-07-06","258","16"
"527","0.61","2016-06-24","2016-05-28","258","17"
"528","0.72","2016-10-04","2016-09-22","262","2"
"529","0.38","2016-05-02","2016-04-22","262","3"
"530","0.76","2016-06-08","2016-05-22","262","4"
"531","0.68","2016-10-03","2016-09-20","262","12"
"532","0.36","2016-07-18","2016-07-04","262","18"
"533","0.96","2016-07-03","2016-06-16","263","17"
"534","0.93","2016-10-04","2016-09-18","263","20"
