"COST_ID","COST","PRODUCT_ID"
"158","12.39","158"
"159","3.54","159"
"160","15.41","160"
"161","1.86","161"
"162","2.27","162"
"163","2.24","163"
"164","5.19","164"
"165","3.74","165"
"166","7.75","166"
"167","1.34","167"
"168","2.31","168"
"169","8.23","169"
"170","1.81","170"
"171","2.67","171"
"172","2.12","172"
"173","1.99","173"
"174","0.81","174"
"175","2.11","175"
"176","2.33","176"
"177","1.69","177"
"178","2.11","178"
"179","5.27","179"
"180","1.08","180"
"181","3.5","181"
"182","1.36","182"
"183","2.8","183"
"184","4.18","184"
"185","2.73","185"
"186","3.36","186"
"187","2.13","187"
"188","2.83","188"
"189","8.01","189"
"190","6.56","190"
"191","1.61","191"
"192","4.12","192"
"193","2.24","193"
"194","6.03","194"
"195","2.97","195"
"196","1.55","196"
"197","4.19","197"
"198","6.73","198"
"199","2.6","199"
"200","6.37","200"
"201","4.7","201"
"202","5.12","202"
"203","6.46","203"
"204","5.55","204"
"205","3.3","205"
"206","1.5","206"
"207","2.45","207"
"208","3.08","208"
"209","7.04","209"
"210","2.1","210"
"211","5.22","211"
"212","2.78","212"
"213","8.0","213"
"214","4.57","214"
"215","6.47","215"
"216","3.88","216"
"217","9.99","217"
"218","14.74","218"
"219","1.81","219"
"220","3.64","220"
"221","3.88","221"
"222","4.06","222"
"223","3.14","223"
"224","8.69","224"
"225","4.91","225"
"226","2.88","226"
"227","1.99","227"
"228","8.77","228"
"229","10.19","229"
"230","3.73","230"
"231","3.86","231"
"232","2.82","232"
"233","5.14","233"
"234","10.61","234"
"235","5.88","235"
"236","3.81","236"
"237","1.72","237"
"238","5.53","238"
"239","2.87","239"
"240","2.15","240"
"241","7.15","241"
"242","10.07","242"
"243","6.09","243"
"244","7.35","244"
"245","2.55","245"
"246","2.86","246"
"247","7.17","247"
"248","7.9","248"
"249","10.22","249"
"250","2.31","250"
"251","6.04","251"
"252","9.11","252"
"253","7.16","253"
"254","6.03","254"
"255","2.12","255"
"256","4.87","256"
"257","2.44","257"
"258","4.18","258"
"259","5.14","259"
"260","3.4","260"
"261","5.43","261"
"262","2.44","262"
"263","3.58","263"
"264","6.3","264"
"265","4.86","265"
"266","7.39","266"
"267","4.13","267"
"268","7.27","268"
"269","7.62","269"
"270","5.38","270"
"271","4.04","271"
"272","7.46","272"
"273","4.24","273"
"274","3.61","274"
"275","2.25","275"
"276","5.95","276"
"277","2.76","277"
"278","3.04","278"
"279","3.99","279"
"280","1.83","280"
"281","5.67","281"
"282","3.67","282"
"283","4.22","283"
"284","2.87","284"
"285","4.17","285"
"286","1.55","286"
"287","5.57","287"
"288","6.35","288"
"289","2.01","289"
"290","5.17","290"
"291","1.31","291"
"292","3.0","292"
"293","3.22","293"
"294","6.38","294"
"295","6.63","295"
"296","5.74","296"
"297","3.18","297"
"298","5.51","298"
"299","6.95","299"
"300","5.83","300"
"301","2.02","301"
"302","3.81","302"
"303","1.59","303"
"304","6.92","304"
"305","5.83","305"
"306","2.84","306"
"307","7.66","307"
"308","5.34","308"
"309","4.44","309"
"310","2.97","310"
"311","5.78","311"
"312","8.16","312"
"313","2.1","313"
"314","8.52","314"
"315","11.62","315"
"316","5.52","316"
"317","2.2","317"
"318","3.83","318"
"319","5.46","319"
"320","5.14","320"
"321","4.09","321"
"322","6.8","322"
"323","5.32","323"
"324","6.56","324"
"325","3.49","325"
"326","4.93","326"
"327","8.21","327"
"328","2.1","328"
"329","3.84","329"
"330","7.64","330"
"331","5.57","331"
"332","5.8","332"
"333","1.8","333"
"334","3.06","334"
"335","6.53","335"
"336","1.39","336"
"337","7.43","337"
"338","1.72","338"
"339","8.31","339"
"340","1.43","340"
"341","8.31","341"
"342","4.15","342"
"343","0.8","343"
"344","1.43","344"
"345","0.82","345"
"346","6.1","346"
"347","8.12","347"
"348","3.84","348"
"349","7.03","349"
"350","5.09","350"
"351","2.2","351"
"352","3.75","352"
"353","3.7","353"
"354","1.36","354"
"355","8.01","355"
"356","5.08","356"
"357","6.49","357"
"358","9.31","358"
"359","2.38","359"
"360","4.88","360"
"361","11.96","361"
"362","5.49","362"
"363","4.73","363"
"364","251.44","364"
"365","27.72","365"
"366","27.6","366"
"367","11.36","367"
"368","17.21","368"
"369","54.74","369"
"370","66.53","370"
"371","38.91","371"
"372","60.89","372"
"373","6.88","373"
"374","22.93","374"
"375","17.51","375"
"376","12.98","376"
"377","72.61","377"
"378","65.83","378"
"379","8.0","379"
"380","9.12","380"
"381","6.56","381"
"382","5.08","382"
"383","7.61","383"
"384","5.13","384"
"385","9.74","385"
"386","4.54","386"
"387","5.04","387"
"388","3.89","388"
"389","8.6","389"
"390","7.45","390"
"391","6.2","391"
"392","6.8","392"
"393","5.01","393"
"394","3.96","394"
"395","4.15","395"
"396","2.98","396"
"397","4.99","397"
"398","8.63","398"
"399","1.97","399"
"400","3.71","400"
"401","1.65","401"
"402","1.98","402"
"403","2.6","403"
"404","11.02","404"
"405","4.13","405"
"406","4.22","406"
"407","4.94","407"
"408","11.32","408"
"409","6.69","409"
"410","10.84","410"
"411","3.5","411"
"412","4.31","412"
"413","8.94","413"
"414","10.6","414"
"415","9.29","415"
"416","5.2","416"
"417","8.44","417"
"418","8.29","418"
"419","10.27","419"
"420","14.88","420"
"421","13.0","421"
"422","11.83","422"
"423","15.54","423"
"424","10.31","424"
"425","6.95","425"
"426","3.65","426"
"427","17.58","427"
"428","7.27","428"
"429","4.05","429"
"430","3.78","430"
"431","10.33","431"
"432","4.29","432"
"433","15.33","433"
"434","10.35","434"
"435","5.36","435"
"436","9.89","436"
"437","14.79","437"
"438","8.47","438"
"439","3.37","439"
"440","8.6","440"
"441","15.88","441"
"442","20.57","442"
"443","9.23","443"
"444","25.45","444"
"445","5.15","445"
"446","14.63","446"
"447","41.07","447"
"448","12.02","448"
"449","4.5","449"
"450","14.22","450"
"451","10.91","451"
"452","6.53","452"
"453","6.19","453"
"454","13.7","454"
"455","6.46","455"
"456","21.64","456"
"457","7.65","457"
"458","7.87","458"
"459","35.76","459"
"460","8.68","460"
"461","12.75","461"
"462","7.87","462"
"463","2.35","463"
"464","3.59","464"
"465","6.4","465"
"466","8.56","466"
"467","11.06","467"
"468","6.76","468"
"469","10.06","469"
"470","7.46","470"
"471","7.75","471"
"472","6.13","472"
"473","3.72","473"
"474","4.22","474"
"475","9.44","475"
"476","9.7","476"
"477","3.06","477"
"478","5.81","478"
"479","10.16","479"
"480","3.62","480"
"481","7.99","481"
"482","11.63","482"
"483","6.74","483"
"484","5.15","484"
"485","10.08","485"
"486","9.75","486"
"487","8.98","487"
"488","10.84","488"
"489","4.87","489"
"490","6.58","490"
"491","10.15","491"
"492","8.46","492"
"493","6.03","493"
"494","3.57","494"
"495","5.83","495"
"496","9.61","496"
"497","8.85","497"
"498","10.68","498"
"499","4.23","499"
"500","12.39","500"
"501","1.78","501"
"502","10.19","502"
"503","10.82","503"
"504","8.76","504"
"505","5.87","505"
"506","9.1","506"
"507","5.87","507"
"508","4.19","508"
"509","5.98","509"
"510","4.63","510"
"511","9.91","511"
"512","3.83","512"
"513","5.63","513"
"514","3.82","514"
"515","19.2","515"
"516","17.45","516"
"517","18.99","517"
"518","9.89","518"
"519","9.66","519"
"520","15.5","520"
"521","13.57","521"
"522","4.61","522"
"523","3.16","523"
"524","12.14","524"
"525","15.72","525"
"526","19.32","526"
"527","11.98","527"
"528","4.07","528"
"529","21.18","529"
"530","9.03","530"
"531","8.23","531"
"532","16.49","532"
"533","9.23","533"
"534","14.9","534"
"535","3.39","535"
"536","15.9","536"
"537","10.37","537"
"538","11.93","538"
"539","12.37","539"
"540","6.33","540"
"541","3.54","541"
"542","14.32","542"
"543","6.05","543"
"544","8.16","544"
"545","9.17","545"
"546","2.15","546"
"547","2.89","547"
"548","6.08","548"
"549","7.66","549"
"550","3.23","550"
"551","15.52","551"
"552","9.31","552"
"553","9.32","553"
"554","8.46","554"
"555","2.7","555"
"556","3.94","556"
"557","4.49","557"
"558","16.7","558"
"559","9.51","559"
"560","2.44","560"
"561","6.25","561"
"562","14.69","562"
"563","5.0","563"
"564","9.63","564"
"565","8.35","565"
"566","20.01","566"
"567","17.17","567"
"568","14.73","568"
"569","8.53","569"
"570","10.61","570"
"571","14.84","571"
"572","9.45","572"
"573","32.27","573"
"574","7.07","574"
"575","16.65","575"
"576","15.53","576"
"577","3.56","577"
"578","10.58","578"
"579","10.93","579"
"580","6.52","580"
"581","3.17","581"
"582","19.46","582"
"583","7.31","583"
"584","10.09","584"
"585","7.41","585"
"586","7.16","586"
"587","12.86","587"
"588","16.35","588"
"589","5.69","589"
"590","10.56","590"
"591","12.91","591"
"592","11.25","592"
"593","22.57","593"
"594","18.58","594"
"595","9.85","595"
"596","4.28","596"
"597","8.18","597"
"598","10.05","598"
"599","13.4","599"
"600","4.41","600"
"601","7.68","601"
"602","11.46","602"
"603","11.03","603"
"604","14.63","604"
"605","5.05","605"
"606","6.42","606"
"607","5.46","607"
"608","17.03","608"
"609","6.91","609"
"610","6.25","610"
"611","9.95","611"
"612","11.03","612"
"613","3.27","613"
"614","7.85","614"
"615","2.45","615"
"616","9.09","616"
"617","6.76","617"
"618","13.6","618"
"619","2.54","619"
"620","4.78","620"
"621","4.88","621"
"622","3.99","622"
"623","6.38","623"
"624","3.73","624"
"625","4.51","625"
"626","4.62","626"
"627","8.1","627"
"628","8.62","628"
"629","22.71","629"
"630","6.92","630"
"631","3.0","631"
"632","3.85","632"
"633","7.14","633"
"634","10.23","634"
"635","6.01","635"
"636","3.37","636"
"637","14.55","637"
"638","3.3","638"
"639","7.77","639"
"640","8.55","640"
"641","11.75","641"
"642","11.34","642"
"643","4.97","643"
"644","2.53","644"
"645","4.81","645"
"646","11.35","646"
"647","14.29","647"
"648","6.67","648"
"649","3.13","649"
"650","2.03","650"
"651","3.1","651"
"652","4.61","652"
"653","4.37","653"
"654","10.59","654"
"655","11.01","655"
"656","16.56","656"
"657","4.52","657"
"658","18.85","658"
"659","18.66","659"
"660","23.7","660"
"661","13.89","661"
"662","9.68","662"
"663","15.58","663"
"664","5.54","664"
"665","11.13","665"
"666","17.29","666"
"667","11.54","667"
"668","9.6","668"
"669","1.34","669"
"670","8.66","670"
"671","4.75","671"
"672","4.22","672"
"673","5.64","673"
"674","12.91","674"
"675","3.3","675"
"676","1.17","676"
"677","1.21","677"
"678","4.0","678"
"679","1.38","679"
"680","4.2","680"
"681","13.57","681"
"682","2.21","682"
"683","8.4","683"
"684","2.84","684"
"685","6.64","685"
"686","1.07","686"
"687","2.17","687"
"688","12.91","688"
"689","12.31","689"
"690","8.81","690"
"691","4.15","691"
"692","13.27","692"
"693","6.3","693"
"694","2.08","694"
"695","2.94","695"
"696","5.74","696"
"697","4.4","697"
"698","5.03","698"
"699","4.84","699"
"700","3.76","700"
"701","12.15","701"
"702","26.8","702"
"703","14.89","703"
"704","7.92","704"
"705","9.19","705"
"706","5.21","706"
"707","11.9","707"
"708","5.18","708"
"709","4.4","709"
"710","7.04","710"
"711","7.91","711"
"712","8.76","712"
"713","8.47","713"
"714","4.92","714"
"715","8.88","715"
"716","3.48","716"
"717","2.63","717"
"718","8.26","718"
"719","7.47","719"
"720","6.16","720"
"721","3.89","721"
"722","2.66","722"
"723","10.29","723"
"724","6.09","724"
"725","7.76","725"
"726","10.87","726"
"727","6.0","727"
"728","2.05","728"
"729","7.35","729"
"730","3.51","730"
"731","11.46","731"
"732","7.9","732"
"733","2.84","733"
"734","6.38","734"
"735","3.22","735"
"736","10.65","736"
"737","5.15","737"
"738","10.09","738"
"739","12.31","739"
"740","3.16","740"
"741","4.2","741"
"742","2.84","742"
"743","8.42","743"
"744","10.52","744"
"745","3.34","745"
"746","3.29","746"
"747","5.51","747"
"748","9.89","748"
"749","2.68","749"
"750","2.96","750"
"751","3.7","751"
"752","1.87","752"
"753","5.89","753"
"754","11.15","754"
"755","4.09","755"
"756","3.02","756"
"757","5.41","757"
"758","3.38","758"
"759","3.8","759"
"760","3.89","760"
"761","6.54","761"
"762","7.61","762"
"763","2.85","763"
"764","4.98","764"
"765","4.43","765"
"766","2.17","766"
"767","5.3","767"
"768","0.81","768"
"769","5.44","769"
"770","1.87","770"
"771","5.42","771"
"772","3.24","772"
"773","3.25","773"
"774","1.49","774"
"775","2.48","775"
"776","2.84","776"
"777","4.65","777"
"778","5.96","778"
"779","2.63","779"
"780","2.05","780"
"781","4.29","781"
"782","2.09","782"
"783","2.88","783"
"784","5.84","784"
"785","3.55","785"
"786","3.57","786"
"787","1.21","787"
"788","4.14","788"
"789","4.47","789"
"790","9.48","790"
"791","9.82","791"
"792","8.37","792"
"793","8.76","793"
"794","2.51","794"
"795","4.39","795"
"796","7.97","796"
"797","6.94","797"
"798","11.27","798"
